replicate,packet_count,best_candidate,best_harmonic,best_resultant_r,best_arc80,h1_resultant_r,h1_arc80,placement_failed
232,4581,logT_over_pi_h1,1,0.9991457455779381,0.0178268121527152,0.9991457455779381,0.0178268121527152,False
233,4581,logT_over_pi_h1,1,0.9991556513159442,0.017820869332989986,0.9991556513159442,0.017820869332989986,False
234,4581,logT_over_pi_h1,1,0.9991680148318824,0.017960020475270788,0.9991680148318824,0.017960020475270788,False
235,4581,logT_over_pi_h1,1,0.9991523987182334,0.01792653785779308,0.9991523987182334,0.01792653785779308,False
236,4581,logT_over_pi_h1,1,0.9991464671865035,0.018082160835327876,0.9991464671865035,0.018082160835327876,False
237,4581,logT_over_pi_h1,1,0.9991423754471028,0.017943721902347498,0.9991423754471028,0.017943721902347498,False
238,4581,logT_over_pi_h1,1,0.9991659431534523,0.017825531121409277,0.9991659431534523,0.017825531121409277,False
239,4581,logT_over_pi_h1,1,0.9991493636142079,0.017904096157929317,0.9991493636142079,0.017904096157929317,False
240,4581,logT_over_pi_h1,1,0.9991533861959772,0.017916666202472342,0.9991533861959772,0.017916666202472342,False
241,4581,logT_over_pi_h1,1,0.9991389039208516,0.018044741938925135,0.9991389039208516,0.018044741938925135,False
242,4581,logT_over_pi_h1,1,0.9991809755588791,0.017595825801214104,0.9991809755588791,0.017595825801214104,False
243,4581,logT_over_pi_h1,1,0.9991351753302543,0.01810666380355208,0.9991351753302543,0.01810666380355208,False
244,4581,logT_over_pi_h1,1,0.9991439000595584,0.018050701824448012,0.9991439000595584,0.018050701824448012,False
245,4581,logT_over_pi_h1,1,0.9991633208641938,0.01788595377970381,0.9991633208641938,0.01788595377970381,False
246,4581,logT_over_pi_h1,1,0.9991530483204017,0.017979805316439723,0.9991530483204017,0.017979805316439723,False
247,4581,logT_over_pi_h1,1,0.999125895900923,0.01821830991423745,0.999125895900923,0.01821830991423745,False
248,4581,logT_over_pi_h1,1,0.9991468491030862,0.01809919499321211,0.9991468491030862,0.01809919499321211,False
249,4581,logT_over_pi_h1,1,0.9991443549897705,0.018003283797974667,0.9991443549897705,0.018003283797974667,False
250,4581,logT_over_pi_h1,1,0.9991697635816738,0.01758909058537217,0.9991697635816738,0.01758909058537217,False
